Skin_Concern,Skin_Type,Skin_Tone,Age,Gender,Recommended_Product
Wrinkles,Oily,Dusky,31,Male,Olay Regenerist Retinol 24
Dark Circles,Oily,Olive,21,Other,Mamaearth Under Eye Cream
Redness,Oily,Fair,21,Male,Aveeno Ultra-Calming Foaming Cleanser
Blackheads,Normal,Olive,17,Other,The Body Shop Tea Tree Cleanser
Sunburn,Normal,Dark,30,Female,Aloe Vera Gel
Inflammation,Combination,Fair,26,Other,The Ordinary Niacinamide 10% + Zinc 1%
Redness,Combination,Dusky,25,Male,Aveeno Ultra-Calming Foaming Cleanser
Uneven Skin Tone,Oily,Fair,40,Male,L'Oreal Paris Glycolic Bright Serum
Pores,Combination,Olive,32,Male,Innisfree Super Volcanic Clay Mask
Itchy Skin,Normal,Fair,40,Male,Eucerin Itch Relief Cream
Tanning,Combination,Olive,39,Other,Lotus Herbals Safe Sun
Sunburn,Oily,Fair,58,Male,Aloe Vera Gel
Dullness,Oily,Medium,22,Female,The Ordinary Vitamin C Suspension
Whiteheads,Sensitive,Dusky,26,Female,Paula's Choice BHA Exfoliant
Pores,Dry,Dusky,60,Other,Innisfree Super Volcanic Clay Mask
Oily Skin,Normal,Medium,50,Other,La Roche-Posay Effaclar Gel
Blackheads,Dry,Dark,40,Female,The Body Shop Tea Tree Cleanser
Tanning,Dry,Dusky,19,Male,Lotus Herbals Safe Sun
Dryness,Combination,Dark,33,Male,CeraVe Moisturizing Cream
Sunburn,Normal,Dusky,29,Other,Aloe Vera Gel
Sagging,Sensitive,Dark,25,Female,Pond’s Age Miracle Firming Serum
Dark Circles,Dry,Olive,50,Female,Mamaearth Under Eye Cream
Inflammation,Sensitive,Olive,41,Female,The Ordinary Niacinamide 10% + Zinc 1%
Blackheads,Dry,Olive,47,Male,The Body Shop Tea Tree Cleanser
Dryness,Oily,Medium,56,Male,CeraVe Moisturizing Cream
Redness,Normal,Fair,40,Female,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Sensitive,Olive,32,Other,CeraVe Eczema Relief Creamy Oil
Acne,Oily,Olive,33,Other,Neutrogena Oil-Free Acne Wash
Uneven Skin Tone,Oily,Dusky,43,Male,L'Oreal Paris Glycolic Bright Serum
Itchy Skin,Oily,Dusky,48,Male,Eucerin Itch Relief Cream
Dark Spots,Oily,Dusky,56,Other,Minimalist Alpha Arbutin Serum
Eczema,Dry,Medium,39,Male,CeraVe Eczema Relief Creamy Oil
Tanning,Normal,Fair,54,Female,Lotus Herbals Safe Sun
Sagging,Oily,Fair,39,Female,Pond’s Age Miracle Firming Serum
Blackheads,Oily,Medium,52,Male,The Body Shop Tea Tree Cleanser
Oily Skin,Sensitive,Fair,50,Male,La Roche-Posay Effaclar Gel
Dark Circles,Sensitive,Olive,26,Female,Mamaearth Under Eye Cream
Dark Spots,Normal,Dark,29,Other,Minimalist Alpha Arbutin Serum
Sunburn,Combination,Dark,58,Other,Aloe Vera Gel
Pores,Sensitive,Olive,44,Male,Innisfree Super Volcanic Clay Mask
Blackheads,Dry,Fair,37,Male,The Body Shop Tea Tree Cleanser
Inflammation,Normal,Medium,53,Male,The Ordinary Niacinamide 10% + Zinc 1%
Acne,Oily,Fair,30,Male,Neutrogena Oil-Free Acne Wash
Dryness,Combination,Fair,48,Male,CeraVe Moisturizing Cream
Whiteheads,Sensitive,Medium,50,Male,Paula's Choice BHA Exfoliant
Inflammation,Normal,Dark,31,Female,The Ordinary Niacinamide 10% + Zinc 1%
Redness,Dry,Fair,22,Other,Aveeno Ultra-Calming Foaming Cleanser
Redness,Combination,Dark,42,Female,Aveeno Ultra-Calming Foaming Cleanser
Dryness,Oily,Fair,41,Other,CeraVe Moisturizing Cream
Uneven Skin Tone,Oily,Medium,28,Male,L'Oreal Paris Glycolic Bright Serum
