Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Wrinkles,veg,Broccoli,Carbonated Drinks
Blackheads,nonveg,Chicken Breast,Butter Chicken
Oily Skin,vegen,Soy Milk,Refined Oil
Oily Skin,nonveg,Tuna,Butter Chicken
Eczema,veg,Sweet Potato,Carbonated Drinks
Tanning,vegen,Oats,Fried Tofu
Inflammation,combination,Egg Salad,Sugary Drinks
Redness,combination,Fruit Yogurt,Sugary Drinks
Sunburn,combination,Chicken with Broccoli,Burger
Rosacea,veg,Pumpkin Seeds,Cheese
Eczema,combination,Egg Salad,Butter Paneer
Tanning,veg,Almonds,Refined Sugar
Tanning,combination,Tofu Stir Fry,Chips
Inflammation,nonveg,Chicken Breast,Red Meat
Blackheads,combination,Chicken with Broccoli,Ice Cream
Wrinkles,vegen,Lentils,Fried Tofu
Pores,nonveg,Oysters,Processed Meat
Sunburn,combination,Chicken with Broccoli,Cream Biscuits
Pigmentation,nonveg,Eggs,Mayonnaise
Rosacea,combination,Greek Yogurt with Berries,Ice Cream
Uneven Skin Tone,veg,Tomato,Fried Potato
Uneven Skin Tone,vegen,Lentils,White Sugar
Sunburn,combination,Vegetable Soup,Butter Paneer
Rosacea,vegen,Tofu,Packaged Vegan Chips
Dark Circles,nonveg,Prawns,Butter Chicken
Whiteheads,vegen,Zucchini,Agave Syrup
Pores,nonveg,Eggs,Butter Chicken
Sagging,veg,Carrot,Refined Sugar
Dark Circles,nonveg,Liver,Fried Egg
Oily Skin,vegen,Hummus,Mock Meats
Itchy Skin,combination,Greek Yogurt with Berries,Pizza
Wrinkles,combination,Mixed Nuts,Burger
Dullness,vegen,Tofu,Fried Tofu
Acne,combination,Greek Yogurt with Berries,Sugary Drinks
Dark Spots,veg,Broccoli,Deep-Fried Snacks
Eczema,nonveg,Eggs,Processed Meat
Pigmentation,veg,Turmeric Milk,Cheese
Sagging,veg,Spinach,Cheese
Dullness,nonveg,Salmon,Mutton Curry
Inflammation,veg,Spinach,Creamy Curries
Oily Skin,nonveg,Eggs,Mayonnaise
Tanning,nonveg,Yogurt,Butter Chicken
Eczema,vegen,Oats,Vegan Mayo
Sunburn,combination,Avocado Toast with Egg,Chips
Itchy Skin,vegen,Chia Seeds,Excess Soy
Blackheads,veg,Pumpkin Seeds,Fried Potato
Inflammation,nonveg,Bone Broth,Mutton Curry
Acne,veg,Carrot,Carbonated Drinks
Oily Skin,veg,Pumpkin Seeds,Refined Sugar
